Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Glycosaminoglycan biosynthesis,2/53,0.8946914379200787,0.9999951623506846,0,0,0.5187267489021287,0.0577220359951023,B3GNT7;UST
KEGG_2021_Human,Asthma,1/31,0.8954513822747052,0.9999951623506846,0,0,0.4411023996198622,0.0487097691152926,FCER1A
KEGG_2021_Human,Lipid and atherosclerosis,11/215,0.8958237575095838,0.9999951623506846,0,0,0.711935025266388,0.0783211002355166,MAPK10;CASP7;RAP1A;NCF1;ITPR1;BCL2;VLDLR;CD36;HSPA2;CALM1;RXRG
KEGG_2021_Human,Oocyte meiosis,6/129,0.8969772187755142,0.9999951623506846,0,0,0.6445793642485781,0.0700817717276244,CPEB1;ADCY9;ITPR1;CALM1;PRKACB;ADCY5
KEGG_2021_Human,Breast cancer,7/147,0.898126108782278,0.9999951623506846,0,0,0.6605583392984968,0.0709735504615633,WNT5B;KIT;WNT9A;FGF2;HES5;FGF10;FGFR1
KEGG_2021_Human,Staphylococcus aureus infection,4/95,0.9079709701973964,0.9999951623506846,0,0,0.5810047095761381,0.0560918633313473,CFD;KRT24;MASP1;KRT20
KEGG_2021_Human,Fructose and mannose metabolism,1/33,0.9096360675165236,0.9999951623506846,0,0,0.4134889522451889,0.0391618220182664,AKR1B10
KEGG_2021_Human,Leishmaniasis,3/77,0.9139294294684556,0.9999951623506846,0,0,0.5359685166965681,0.0482381961818691,NCF1;PRKCB;EEF1A2
KEGG_2021_Human,Choline metabolism in cancer,4/98,0.9199163200702236,0.9999951623506846,0,0,0.562370820668693,0.0469425374249889,MAPK10;SLC22A5;PRKCB;PDGFD
KEGG_2021_Human,Endometrial cancer,2/58,0.9213540834859189,0.9999951623506846,0,0,0.4722844915426941,0.0386852294067535,CTNNA3;CTNNA2
KEGG_2021_Human,Nicotinate and nicotinamide metabolism,1/35,0.921897380163548,0.9999951623506846,0,0,0.3891241457381242,0.031644105892479,AOX1
KEGG_2021_Human,Non-alcoholic fatty liver disease,7/155,0.9246474731972584,0.9999951623506846,0,0,0.6245816324556482,0.0489314265516374,MAPK10;CASP7;PRKAA2;LEP;ADIPOQ;IL6R;COX7A1
KEGG_2021_Human,Autophagy,6/137,0.9251360653313252,0.9999951623506846,0,0,0.6049536415162337,0.047074137692243,MAPK10;PRKAA2;TP53INP2;ITPR1;BCL2;PRKACB
