Gene,t_stat,p_value,log2FC,p_adj
CD36,-6.39498842515094,1.679140816130361e-08,-2.0278550387002983,2.6702241757666e-07
STON1,-5.17248422096845,3.700608565429823e-06,-2.0274634299492633,2.7727219842456946e-05
PDZD4,-8.540027745569361,6.511804494176568e-11,-2.0274617500574084,2.390215296685987e-09
MUSTN1,-6.741249360526378,7.2197219845427226e-09,-2.025443822292767,1.2928561752452663e-07
SORBS1,-4.23265540200901,8.244759885858142e-05,-2.0250385383316525,0.0004142123794018244
RDH5,-9.76875387139621,1.093676258347182e-14,-2.0243818065909474,2.1464278567045987e-12
PTGIS,-6.093724425223075,6.59036410864078e-08,-2.0204570775524164,8.63667748776963e-07
CHRDL1,-8.940945797798985,4.4364798733481347e-13,-2.019133327498536,4.1208463434274885e-11
SLC2A4,-5.699941477008557,6.750952427008359e-07,-2.0188562111891644,6.4226418398622134e-06
MFAP5,-7.286369269243275,3.521850671505594e-10,-2.018676713147474,1.0083265640207074e-08
GPM6B,-6.070516968783678,2.297967332574588e-07,-2.0179695114583454,2.528179611461807e-06
CD79A,-5.527226621957866,5.322663092155966e-07,-2.0166779609853216,5.220972551822153e-06
CDKN2B-AS1,-7.502574900809062,3.021303131776076e-10,-2.0155362940561887,8.858606387337662e-09
NEFL,-8.175744124872113,1.2736615127072528e-09,-2.013230116769847,2.966107806052029e-08
SGK1,-7.1962747397666,5.479062274826578e-10,-2.0124343343860556,1.4733531438693877e-08
CD22,-4.7704588142990785,1.69810205256459e-05,-2.0112666550690976,0.00010414569443349764
ABCA6,-8.138553938360703,2.618065330069584e-11,-2.010053363982152,1.1397716971837815e-09
NXPE1,-5.376231282250968,9.337447572260067e-07,-2.008561498064574,8.494808378262467e-06
SECTM1,-7.854578843653935,3.220030324136715e-11,-2.0073282968509085,1.3497206300174495e-09
CNTFR,-8.7109430214512,1.1022422754504579e-12,-2.0066145800633266,8.570021730147713e-11
MEIS1,-7.2461060796538215,7.494237158125093e-10,-2.0028603711999673,1.9218098575356402e-08
