Gene,t_stat,p_value,log2FC,p_adj
SLPI,3.1524660358188616,0.002376959899225028,1.9782951227565642,0.007765565325216844
IGF2BP3,3.840615208572453,0.0003227165719745546,1.9740407729373193,0.0013608786164568984
EFNA3,7.88233865089112,2.764677918899694e-11,1.9698908402288198,1.1950479899528055e-09
SLC4A11,8.246578096481134,1.0828004908503923e-10,1.965837743717565,3.675178904509783e-09
TRIP13,9.983044109977216,4.153053755816164e-15,1.964462953934007,1.0313134306279813e-12
ST8SIA6-AS1,3.2515863427744414,0.0023825392513290382,1.9640009220918961,0.0077827483517239554
SERPINE1,4.466305051878669,3.0012268289850073e-05,1.9616479891220093,0.00017060933452506223
KLK12,4.508799656845869,3.280039234172852e-05,1.9575643108494805,0.00018469003887744222
BAMBI,4.813285298578217,1.0126051056085621e-05,1.9568302498001393,6.604866751565255e-05
MACC1,7.293820924796561,3.3965440863542176e-10,1.9503054435258314,9.805254672065983e-09
MAP7D2,4.314391043847549,7.927807988971345e-05,1.9467932281992164,0.0004003551260004288
SFTA2,4.822055210304429,2.0880553470382094e-05,1.923331119281673,0.00012485237082437804
PAQR4,10.698602519150471,1.8890213881619892e-16,1.9205135270147737,8.840620096598108e-14
GTF2IRD1,8.724539728604118,1.2952347526369099e-12,1.9170559034999153,9.850260293803699e-11
PPM1H,9.613528157356292,2.6921527133199615e-14,1.91368767869479,4.282106433421868e-12
PCSK9,5.947735991726239,9.518928832173462e-08,1.912595705962206,1.186745143748839e-06
AJUBA,10.14089150726384,2.6226981688708657e-15,1.9039514862245157,7.689877426221854e-13
HIST3H2A,8.364076253602697,3.9702899578055715e-12,1.9010611485469013,2.4095006586822047e-10
CELSR1,8.082180206691271,1.5163334793506902e-11,1.8999704070494898,7.16533816572396e-10
